condition,agent_type,seed,all_survived,surv_A,surv_B,surv_generalist,survival_pre,survival_post1,survival_late,coop_pre,coop_post1,coop_late,apparent_informed_pre,apparent_informed_post1,apparent_informed_late,true_informed_pre,true_informed_post1,true_informed_late,certified_give_rate_pre,certified_give_rate_post1,certified_give_rate_late,false_certified_pre,false_certified_post1,false_certified_late,certification_error_pre,certification_error_post1,certification_error_late,uncertified_true_need_pre,uncertified_true_need_post1,uncertified_true_need_late,strict_usefulness_pre,strict_usefulness_post1,strict_usefulness_late,reciprocity_pre,reciprocity_post1,reciprocity_late
no_crisis,dqn,9,0.0,0.0,0.0,0.0,25.833333333333336,0.0,0.0,2,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_crisis,scripted,9,1.0,1.0,1.0,1.0,100.0,100.0,100.0,18,3,8,1.0,1.0,1.0,1.0,1.0,1.0,1.3846153846153846,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
no_crisis,dqn,10,0.0,0.0,0.0,0.0,45.166666666666664,33.33333333333333,0.0,3,0,0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
no_crisis,scripted,10,1.0,1.0,1.0,1.0,100.0,100.0,100.0,19,4,8,1.0,1.0,1.0,0.8947368421052632,1.0,1.0,0.76,1.3333333333333333,0.6666666666666666,0.10526315789473684,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
no_crisis,dqn,11,0.0,0.0,0.0,0.0,47.5,0.0,0.0,2,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_crisis,scripted,11,1.0,1.0,1.0,1.0,100.0,100.0,100.0,21,5,8,1.0,1.0,1.0,0.8571428571428571,0.8,1.0,1.0,1.6666666666666667,1.6,0.14285714285714285,0.2,0.0,0.14285714285714285,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
no_crisis,dqn,12,0.0,0.0,0.0,0.0,41.66666666666667,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_crisis,scripted,12,1.0,1.0,1.0,1.0,100.0,100.0,100.0,18,4,8,1.0,1.0,1.0,0.8888888888888888,1.0,0.875,1.2857142857142858,0.8,1.1428571428571428,0.1111111111111111,0.0,0.125,0.1111111111111111,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
no_crisis,dqn,13,0.0,0.0,0.0,0.0,45.666666666666664,33.33333333333333,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_crisis,scripted,13,1.0,1.0,1.0,1.0,100.0,100.0,100.0,23,4,7,1.0,1.0,1.0,0.782608695652174,1.0,1.0,1.2777777777777777,0.4444444444444444,0.5384615384615384,0.21739130434782608,0.0,0.0,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
no_crisis,dqn,14,0.0,0.0,0.0,0.0,36.333333333333336,0.0,0.0,5,0,0,0.8,0.0,0.0,0.8,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
