condition,agent_type,seed,all_survived,survival_pre,survival_post1,survival_late,coop_pre,coop_post1,coop_late,apparent_informed_pre,apparent_informed_post1,apparent_informed_late,true_informed_pre,true_informed_post1,true_informed_late,certified_give_rate_pre,certified_give_rate_post1,certified_give_rate_late,false_certified_pre,false_certified_post1,false_certified_late,certification_error_pre,certification_error_post1,certification_error_late,uncertified_true_need_pre,uncertified_true_need_post1,uncertified_true_need_late,strict_usefulness_pre,strict_usefulness_post1,strict_usefulness_late,reciprocity_pre,reciprocity_post1,reciprocity_late
no_crisis,dqn,10,0.0,50.5,33.33333333333333,33.33333333333333,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_crisis,scripted,10,1.0,100.0,100.0,100.0,19,4,8,1.0,1.0,1.0,0.8947368421052632,1.0,1.0,0.76,1.3333333333333333,0.6666666666666666,0.10526315789473684,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,0.0,1.0
no_crisis,dqn,11,0.0,45.666666666666664,32.666666666666664,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_crisis,scripted,11,1.0,100.0,100.0,100.0,21,5,8,1.0,1.0,1.0,0.8571428571428571,0.8,1.0,1.0,1.6666666666666667,1.6,0.14285714285714285,0.2,0.0,0.14285714285714285,0.2,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,1.0,0.0,0.0
no_crisis,dqn,12,0.0,36.5,0.0,0.0,3,0,0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
no_crisis,scripted,12,1.0,100.0,100.0,100.0,18,4,8,1.0,1.0,1.0,0.8888888888888888,1.0,0.875,1.2857142857142858,0.8,1.1428571428571428,0.1111111111111111,0.0,0.125,0.1111111111111111,0.0,0.125,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,0.0,1.0
no_crisis,dqn,13,0.0,45.666666666666664,33.33333333333333,33.33333333333333,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_crisis,scripted,13,1.0,100.0,100.0,100.0,23,4,7,1.0,1.0,1.0,0.782608695652174,1.0,1.0,1.2777777777777777,0.4444444444444444,0.5384615384615384,0.21739130434782608,0.0,0.0,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,1.0,0.0,1.0
no_crisis,dqn,14,0.0,53.5,33.33333333333333,5.0,3,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_crisis,scripted,14,1.0,100.0,100.0,100.0,18,3,8,1.0,1.0,1.0,0.9444444444444444,1.0,0.875,1.0,3.0,0.4444444444444444,0.05555555555555555,0.0,0.125,0.05555555555555555,0.0,0.125,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,0.0,1.0
no_crisis,dqn,15,0.0,50.5,33.33333333333333,33.33333333333333,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_crisis,scripted,15,1.0,100.0,100.0,100.0,18,3,8,1.0,1.0,1.0,0.9444444444444444,1.0,0.75,0.8571428571428571,0.75,0.8,0.05555555555555555,0.0,0.25,0.05555555555555555,0.0,0.25,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,1.0,0.0,1.0
no_crisis,dqn,16,0.0,45.5,33.33333333333333,33.33333333333333,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_crisis,scripted,16,1.0,100.0,100.0,100.0,18,4,6,1.0,1.0,1.0,0.8333333333333334,0.75,1.0,2.0,1.3333333333333333,1.0,0.16666666666666666,0.25,0.0,0.16666666666666666,0.25,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,1.0,1.0,0.0
no_crisis,dqn,17,0.0,49.666666666666664,33.33333333333333,0.0,3,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
no_crisis,scripted,17,1.0,100.0,100.0,100.0,21,3,8,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.1666666666666667,1.5,1.6,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,1.0,0.0,1.0
no_crisis,dqn,18,0.0,45.666666666666664,22.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_crisis,scripted,18,1.0,100.0,100.0,100.0,19,4,7,1.0,1.0,1.0,0.9473684210526315,1.0,1.0,1.2666666666666666,2.0,1.4,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,0.0,1.0
no_crisis,dqn,19,0.0,45.666666666666664,33.33333333333333,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_crisis,scripted,19,1.0,100.0,100.0,100.0,18,4,8,1.0,1.0,1.0,0.8333333333333334,0.75,1.0,0.6428571428571429,4.0,0.8,0.16666666666666666,0.25,0.0,0.16666666666666666,0.25,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,0.0,0.0
