seed,src,dst,target_regime,d_beh,d_cost,signed_cost,floor,ref_train_steps,steps_to_reach,censored,positive_transfer
3,normal_h8,wind_h8,wind,0.018895506858825684,0.0,-54.70721103038106,0.10317974771772112,630,0,False,True
3,normal_h8,damped_h8,damped,0.04084677994251251,1.9540911873891245,-0.7057474877626176,0.013249803819353619,1400,180,False,True
3,normal_h8,blur_h8,blur,0.032245613634586334,6.764202313763757,6.744968682527544,0.02779686337425595,1400,660,False,False
3,normal_h16,wind_h8,wind,0.024584481492638588,0.0,-72.07515838576691,0.10507167785886734,350,0,False,True
3,normal_h16,damped_h8,damped,0.050592489540576935,0.8985047077848799,-4.933130067078366,0.011867217412070622,1400,60,False,True
3,normal_h16,blur_h8,blur,0.02516624890267849,1.296540810948327,-0.9693769351357496,0.019914108230954124,1400,260,False,True
3,compressed_h2,wind_h8,wind,0.049679722636938095,0.0659931500752764,-9.273607455548786,0.08800492059616816,1400,0,False,True
3,compressed_h2,damped_h8,damped,0.08903203904628754,22.31641973862572,22.31641973862572,0.02703818858615936,1400,780,False,False
3,compressed_h2,blur_h8,blur,0.05993357300758362,4.051587881549961,2.8930509563476376,0.0730088298282926,1400,460,False,False
3,wind_h8,normal_h8,normal,0.018895506858825684,7.07004755617134,7.07004755617134,0.02907422591769506,1400,800,True,False
3,wind_h8,normal_h16,normal,0.024584481492638588,6.9535738821067525,6.9535738821067525,0.02907422591769506,1400,800,True,False
3,wind_h8,compressed_h2,normal,0.049679722636938095,7.0482982846479585,7.0482982846479585,0.02907422591769506,1400,800,True,False
3,wind_h8,damped_h8,damped,0.024953292682766914,1.3588770797091818,-2.1253602813692796,0.013249803819353619,1400,120,False,True
3,wind_h8,blur_h8,blur,0.039091337472200394,7.054650889975687,7.054650889975687,0.02779686337425595,1400,720,False,False
3,wind_h8,velocity_aux_h8,normal,0.026669472455978394,7.094621936716734,7.094621936716734,0.02907422591769506,1400,800,True,False
3,damped_h8,normal_h8,normal,0.04084677994251251,11.242649699487387,11.242649699487387,0.02907422591769506,1400,800,True,False
3,damped_h8,normal_h16,normal,0.050592489540576935,11.192430487937393,11.192430487937393,0.02907422591769506,1400,800,True,False
3,damped_h8,compressed_h2,normal,0.08903203904628754,11.30077057958595,11.30077057958595,0.02907422591769506,1400,800,True,False
3,damped_h8,wind_h8,wind,0.024953292682766914,0.0,-51.663051940145934,0.10317974771772112,630,0,False,True
3,damped_h8,blur_h8,blur,0.06334193050861359,12.12413908186413,12.12413908186413,0.02779686337425595,1400,800,True,False
3,damped_h8,velocity_aux_h8,normal,0.059875983744859695,11.317960936635261,11.317960936635261,0.02907422591769506,1400,800,True,False
3,blur_h8,normal_h8,normal,0.032245613634586334,5.683965493762303,5.683965493762303,0.02907422591769506,1400,760,False,False
3,blur_h8,normal_h16,normal,0.02516624890267849,5.7621751777709465,5.7621751777709465,0.02907422591769506,1400,760,False,False
3,blur_h8,compressed_h2,normal,0.05993357300758362,5.708985786589368,5.708985786589368,0.02907422591769506,1400,760,False,False
3,blur_h8,wind_h8,wind,0.039091337472200394,0.0,-57.694459529150095,0.10317974771772112,630,0,False,True
3,blur_h8,damped_h8,damped,0.06334193050861359,2.494821028813483,-0.8943472257445731,0.013249803819353619,1400,160,False,True
3,blur_h8,velocity_aux_h8,normal,0.03520205616950989,5.638327292979708,5.638327292979708,0.02907422591769506,1400,760,False,False
3,velocity_aux_h8,wind_h8,wind,0.026669472455978394,0.0,-57.16872800933936,0.09990569901844812,490,0,False,True
3,velocity_aux_h8,damped_h8,damped,0.059875983744859695,2.4726257615146183,-0.6450130511370913,0.013644884976129684,1400,180,False,True
3,velocity_aux_h8,blur_h8,blur,0.03520205616950989,2.386860884371257,2.149128031162987,0.029822616350083125,1400,420,False,False
