seed,source,intermediate,dest,leg2,is_null,pathlen
0,normal,normal,wind,0.0,True,0.04446704685688019
0,normal,normal,damped,1.1884698785013623,True,0.05540484935045242
0,normal,normal,blur,0.0,True,0.028752382844686508
0,normal,wind,wind,0.0,False,0.04446704685688019
0,normal,wind,damped,1.0288457754585478,False,0.1087426096200943
0,normal,wind,blur,0.15678458838235765,False,0.09278182685375214
0,normal,damped,wind,0.0,False,0.11968041211366653
0,normal,damped,damped,0.0,False,0.05540484935045242
0,normal,damped,blur,0.930398430143084,False,0.12007639557123184
0,normal,blur,wind,0.0,False,0.07706716284155846
0,normal,blur,damped,1.521593777906327,False,0.09342392906546593
0,normal,blur,blur,0.0,False,0.028752382844686508
0,wind,normal,normal,0.0,False,0.04446704685688019
0,wind,normal,damped,1.6319498406752708,False,0.09987189620733261
0,wind,normal,blur,0.06608686702592029,False,0.0732194297015667
0,wind,wind,normal,1.0789504746596015,True,0.04446704685688019
0,wind,wind,damped,3.7792753126649634,True,0.06427556276321411
0,wind,wind,blur,0.6400443386463894,True,0.04831477999687195
0,wind,damped,normal,4.004836980312589,False,0.11968041211366653
0,wind,damped,damped,0.0,False,0.06427556276321411
0,wind,damped,blur,3.1506664440745396,False,0.12894710898399353
0,wind,blur,normal,0.5983371902552859,False,0.07706716284155846
0,wind,blur,damped,2.825266846352153,False,0.11298632621765137
0,wind,blur,blur,0.0,False,0.04831477999687195
0,damped,normal,normal,0.0,False,0.05540484935045242
0,damped,normal,wind,0.0,False,0.09987189620733261
0,damped,normal,blur,0.13252181524322143,False,0.08415723219513893
0,damped,wind,normal,1.5282087411199297,False,0.1087426096200943
0,damped,wind,wind,0.0,False,0.06427556276321411
0,damped,wind,blur,0.6462637271199909,False,0.11259034276008606
0,damped,damped,normal,8.02369931245607,True,0.05540484935045242
0,damped,damped,wind,0.6922333032365829,True,0.06427556276321411
0,damped,damped,blur,6.252591981774285,True,0.06467154622077942
0,damped,blur,normal,0.7068575805141808,False,0.09342392906546593
0,damped,blur,wind,0.0,False,0.11298632621765137
0,damped,blur,blur,0.0,False,0.06467154622077942
0,blur,normal,normal,0.0,False,0.028752382844686508
0,blur,normal,wind,0.0,False,0.0732194297015667
0,blur,normal,damped,1.1582141847364487,False,0.08415723219513893
0,blur,wind,normal,0.18429228474223414,False,0.09278182685375214
0,blur,wind,wind,0.0,False,0.04831477999687195
0,blur,wind,damped,1.3265186480823017,False,0.11259034276008606
0,blur,damped,normal,1.74999078209438,False,0.12007639557123184
0,blur,damped,wind,0.12324995748580439,False,0.12894710898399353
0,blur,damped,damped,0.0,False,0.06467154622077942
0,blur,blur,normal,0.2553174727492862,True,0.028752382844686508
0,blur,blur,wind,0.0,True,0.04831477999687195
0,blur,blur,damped,2.2688267568037626,True,0.06467154622077942
