seed,src,via,dst,is_null,direct,leg1,leg2,chained
7,compressed_h2,__NULL__,damped_h8,True,21.98754730111077,2.4841982126235966,25.734900630655748,28.219098843279344
7,compressed_h2,wind_h8,damped_h8,False,21.98754730111077,11.640505007335117,16.781085992143268,28.421590999478383
7,compressed_h2,blur_h8,damped_h8,False,21.98754730111077,3.0034404775453014,24.864804069201163,27.868244546746464
7,damped_h8,__NULL__,velocity_aux_h8,True,14.941343866170394,0.13267790809983293,9.109005340981106,9.241683249080939
7,damped_h8,wind_h8,velocity_aux_h8,False,14.941343866170394,2.9623289306958505,2.1549163981089516,5.1172453288048025
7,damped_h8,blur_h8,velocity_aux_h8,False,14.941343866170394,13.640614749420257,1.0525802373886108,14.693194986808868
7,damped_h8,__NULL__,normal_h16,True,14.895985117507353,0.1335363043915657,8.991891299448318,9.125427603839883
7,damped_h8,wind_h8,normal_h16,False,14.895985117507353,2.9671045768828606,2.219480392005708,5.186584968888568
7,damped_h8,blur_h8,normal_h16,False,14.895985117507353,13.487776158821019,1.0363957356838949,14.524171894504914
7,damped_h8,__NULL__,compressed_h2,True,14.861849702066845,0.13568765457187376,9.056159881372299,9.191847535944172
7,damped_h8,wind_h8,compressed_h2,False,14.861849702066845,2.960262579577309,2.1416834148149637,5.101945994392272
7,damped_h8,blur_h8,compressed_h2,False,14.861849702066845,13.564178981951306,1.0648037549995237,14.62898273695083
7,damped_h8,__NULL__,normal_h8,True,14.76549883636217,0.13626882221017556,9.131903909974628,9.268172732184803
7,damped_h8,wind_h8,normal_h8,False,14.76549883636217,2.9625796775023145,2.213874298428732,5.176453975931047
7,damped_h8,blur_h8,normal_h8,False,14.76549883636217,13.584255774815874,1.0465995527449103,14.630855327560784
7,damped_h8,__NULL__,blur_h8,True,13.732161949078243,0.13498517427416068,7.594367971022925,7.729353145297086
7,damped_h8,normal_h8,blur_h8,False,13.732161949078243,14.837054428127075,1.7158464448792592,16.552900873006333
7,damped_h8,normal_h16,blur_h8,False,13.732161949078243,14.850111151971515,1.7056525817939219,16.555763733765435
7,damped_h8,compressed_h2,blur_h8,False,13.732161949078243,14.806990415803972,1.7144248187541966,16.52141523455817
7,damped_h8,wind_h8,blur_h8,False,13.732161949078243,2.9867920052437547,2.5166585118997666,5.503450517143522
7,damped_h8,velocity_aux_h8,blur_h8,False,13.732161949078243,14.864780425552334,1.7048470562412628,16.569627481793596
