seed,src,dst,target_regime,d_beh,d_cost,signed_cost,floor,ref_train_steps,steps_to_reach,censored,positive_transfer
1,normal_h8,wind_h8,wind,0.022840654477477074,0.0,-21.449959558863483,0.05914865032074943,630,0,False,True
1,normal_h8,damped_h8,damped,0.0352390855550766,2.437322025734281,0.5688113063159926,0.010348154155034867,1400,220,False,False
1,normal_h8,blur_h8,blur,0.03018059954047203,1.5263048892929436,-2.0184563450397004,0.033979051642947726,1400,240,False,True
1,normal_h16,wind_h8,wind,0.025260329246520996,0.18127948613393882,-14.756990976986431,0.03296545289811634,1400,20,False,True
1,normal_h16,damped_h8,damped,0.060378916561603546,2.0967065772366906,0.15491498773178436,0.006567974412252033,1400,140,False,False
1,normal_h16,blur_h8,blur,0.03279857337474823,0.536821949340048,-2.7327215844203567,0.019146159906235954,1400,140,False,True
1,compressed_h2,wind_h8,wind,0.04263297840952873,0.9329731180554331,-2.7391914290095185,0.07842920432015071,1400,100,False,True
1,compressed_h2,damped_h8,damped,0.07350481301546097,16.066866400695982,15.40020247797171,0.03329245135897682,1400,620,False,False
1,compressed_h2,blur_h8,blur,0.054818376898765564,0.35337552475550926,-4.512950299278131,0.07481998564705016,1400,40,False,True
1,wind_h8,normal_h8,normal,0.022840654477477074,0.10778503001682344,-10.876838145274961,0.04626533114720904,1400,20,False,True
1,wind_h8,normal_h16,normal,0.025260329246520996,0.10778503001682344,-10.929477193998908,0.04626533114720904,1400,20,False,True
1,wind_h8,compressed_h2,normal,0.04263297840952873,0.10778503001682344,-10.86114620074393,0.04626533114720904,1400,20,False,True
1,wind_h8,damped_h8,damped,0.03520457446575165,2.3908321114759596,0.796777870624312,0.010348154155034867,1400,200,False,False
1,wind_h8,blur_h8,blur,0.032864026725292206,2.112795340163368,0.3983323763287265,0.033979051642947726,1400,280,False,False
1,wind_h8,velocity_aux_h8,normal,0.022857435047626495,0.10778503001682344,-10.89796658120458,0.04626533114720904,1400,20,False,True
1,damped_h8,normal_h8,normal,0.0352390855550766,1.344552069902421,-5.5851090384854185,0.04626533114720904,1400,120,False,True
1,damped_h8,normal_h16,normal,0.060378916561603546,1.3605201797825957,-5.490951700343024,0.04626533114720904,1400,120,False,True
1,damped_h8,compressed_h2,normal,0.07350481301546097,1.3618391482602994,-5.47787514802009,0.04626533114720904,1400,120,False,True
1,damped_h8,wind_h8,wind,0.03520457446575165,1.288566410541535,-13.034335950064277,0.05914865032074943,630,100,False,True
1,damped_h8,blur_h8,blur,0.0462527722120285,8.690927507385377,7.798049380854959,0.033979051642947726,1400,460,False,False
1,damped_h8,velocity_aux_h8,normal,0.04725310206413269,1.3501375729129435,-5.5849776584950686,0.04626533114720904,1400,120,False,True
1,blur_h8,normal_h8,normal,0.03018059954047203,0.3715407082012724,-9.047029393532918,0.04626533114720904,1400,40,False,True
1,blur_h8,normal_h16,normal,0.03279857337474823,0.3733958715484258,-8.97933051605073,0.04626533114720904,1400,40,False,True
1,blur_h8,compressed_h2,normal,0.054818376898765564,0.3744448934282578,-8.921682338392921,0.04626533114720904,1400,40,False,True
1,blur_h8,wind_h8,wind,0.032864026725292206,0.010520833825308218,-18.25703624647761,0.05914865032074943,630,0,False,True
1,blur_h8,damped_h8,damped,0.0462527722120285,2.905759461342342,1.4062967647517477,0.010348154155034867,1400,240,False,False
1,blur_h8,velocity_aux_h8,normal,0.034756261855363846,0.3719272670291721,-8.96173750975775,0.04626533114720904,1400,40,False,True
1,velocity_aux_h8,wind_h8,wind,0.022857435047626495,0.0,-24.57306469030796,0.05900849312070816,630,0,False,True
1,velocity_aux_h8,damped_h8,damped,0.04725310206413269,2.687067260344823,0.7940387237994428,0.009909403324127198,1400,200,False,False
1,velocity_aux_h8,blur_h8,blur,0.034756261855363846,0.12056507903432087,-7.031943469766586,0.03747807362722972,1400,20,False,True
