seed,src,via,dst,is_null,direct,leg1,leg2,chained,advantage,dominates
1,compressed_h2,__NULL__,damped_h8,True,13.688368496440704,0.010741873392983159,10.674306157089415,10.685048030482399,0.21940675155985453,True
1,compressed_h2,wind_h8,damped_h8,False,13.688368496440704,0.9392919739087412,15.52627470095952,16.465566674868263,-0.20288744996525304,False
1,compressed_h2,blur_h8,damped_h8,False,13.688368496440704,0.36281069308992525,15.959540948981331,16.322351642071258,-0.1924249150887084,False
1,damped_h8,__NULL__,blur_h8,True,8.49431715929319,0.0337588115343972,6.802440401580599,6.8361992131149965,0.19520320645952496,True
1,damped_h8,normal_h8,blur_h8,False,8.49431715929319,1.3393112922471675,2.068315371634468,3.4076266638816355,0.598834538435673,True
1,damped_h8,normal_h16,blur_h8,False,8.49431715929319,1.3501375729129435,2.102737388913594,3.4528749618265375,0.593507647869149,True
1,damped_h8,compressed_h2,blur_h8,False,8.49431715929319,1.3529439710435422,2.063945547928886,3.4168895189724284,0.5977440617184646,True
1,damped_h8,wind_h8,blur_h8,False,8.49431715929319,1.2797172779128667,0.8889627371515549,2.168680015064422,0.7446904825431693,True
1,damped_h8,velocity_aux_h8,blur_h8,False,8.49431715929319,1.3608492258049196,2.1441054590164677,3.5049546848213873,0.5873765225511037,True
1,blur_h8,__NULL__,damped_h8,True,2.8778933993880718,0.38984400057603474,2.791958882931679,3.181802883507714,-0.10560136945456791,False
1,blur_h8,normal_h8,damped_h8,False,2.8778933993880718,0.37300034931727843,1.3195242515159031,1.6925246008331816,0.41188766714115815,True
1,blur_h8,normal_h16,damped_h8,False,2.8778933993880718,0.3719272670291721,1.3384983336168623,1.7104256006460345,0.40566749240617345,True
1,blur_h8,compressed_h2,damped_h8,False,2.8778933993880718,0.3759227622122995,1.3294802722003725,1.7054030344126718,0.40741271557337994,True
1,blur_h8,wind_h8,damped_h8,False,2.8778933993880718,0.010520833825308218,2.4424469631815717,2.45296779700688,0.14765161297202453,True
1,blur_h8,velocity_aux_h8,damped_h8,False,2.8778933993880718,0.37109340940203017,1.3394192505687006,1.7105126599707308,0.4056372413465912,True
1,velocity_aux_h8,__NULL__,damped_h8,True,2.712141069273154,0.0,1.2963566709132421,1.2963566709132421,0.52201724106458,True
1,velocity_aux_h8,wind_h8,damped_h8,False,2.712141069273154,0.0,3.0716381949328233,3.0716381949328233,-0.13255104232318335,False
1,velocity_aux_h8,blur_h8,damped_h8,False,2.712141069273154,0.12165647981658811,2.3758322291430978,2.4974887089596858,0.07914498355020827,False
1,normal_h8,__NULL__,damped_h8,True,2.424644243386057,0.0,1.037356335965414,1.037356335965414,0.57216142582768,True
1,normal_h8,wind_h8,damped_h8,False,2.424644243386057,0.0,2.2913716794952514,2.2913716794952514,0.05496582199815345,False
1,normal_h8,blur_h8,damped_h8,False,2.424644243386057,1.5111547268572312,2.524249935552242,4.035404662409473,-0.6643285601247471,False
1,wind_h8,__NULL__,damped_h8,True,2.413351418953093,0.0,2.7652599248621197,2.7652599248621197,-0.1458173489137706,False
1,wind_h8,normal_h8,damped_h8,False,2.413351418953093,0.10778503001682344,1.3054484960342212,1.4132335260510447,0.4144103859254354,True
1,wind_h8,normal_h16,damped_h8,False,2.413351418953093,0.10778503001682344,1.2911159869224307,1.3989010169392542,0.42034922641059275,True
1,wind_h8,compressed_h2,damped_h8,False,2.413351418953093,0.10778503001682344,1.3403298565083084,1.4481148865251319,0.39995689183412786,True
1,wind_h8,blur_h8,damped_h8,False,2.413351418953093,2.0834220534279235,2.9526899069074606,5.0361119603353846,-1.0867710855471018,False
1,wind_h8,velocity_aux_h8,damped_h8,False,2.413351418953093,0.10778503001682344,1.305550231228745,1.4133352612455685,0.4143682307740037,True
