seed,src,via,dst,direct,leg1,leg2,chained,advantage,dominates
1,damped_h8,normal_h8,blur_h8,6.733990564232782,2.17884535306976,1.2384805764470779,3.4173259295168377,0.49252588091409344,True
1,damped_h8,normal_h16,blur_h8,6.733990564232782,2.1677796230429696,1.18884393005144,3.3566235530944093,0.5015402054581232,True
1,damped_h8,compressed_h2,blur_h8,6.733990564232782,2.138479042620886,1.2222626152492706,3.3607416578701566,0.5009286654304879,True
1,damped_h8,wind_h8,blur_h8,6.733990564232782,2.348873612426577,0.34687883797146013,2.6957524503980372,0.5996797998624505,True
1,damped_h8,velocity_aux_h8,blur_h8,6.733990564232782,2.1620228446665255,1.1945928051358177,3.356615649802343,0.5015413790998132,True
1,blur_h8,normal_h8,damped_h8,2.585285374806041,0.6770533607119609,1.1075068698042916,1.7845602305162525,0.3097240838837231,True
1,blur_h8,normal_h16,damped_h8,2.585285374806041,0.6778018985475813,1.118765121414548,1.7965670199621293,0.30507980377333965,True
1,blur_h8,compressed_h2,damped_h8,2.585285374806041,0.6726118638401941,1.0921029852969308,1.764714849137125,0.3174003665767377,True
1,blur_h8,wind_h8,damped_h8,2.585285374806041,0.1448422528448559,2.0943124280089425,2.2391546808537983,0.13388490776505127,True
1,blur_h8,velocity_aux_h8,damped_h8,2.585285374806041,0.681402175199418,1.0958018125522708,1.777203987751689,0.31256951164046165,True
1,damped_h8,normal_h8,wind_h8,2.366219245252155,2.163383898280916,0.015668290002005536,2.1790521882829212,0.07909962584607771,False
1,damped_h8,normal_h16,wind_h8,2.366219245252155,2.2284250074908853,0.015041322935195195,2.2434663304260805,0.051877236258803874,False
1,damped_h8,compressed_h2,wind_h8,2.366219245252155,2.176463957343783,0.00945690983817693,2.18592086718196,0.07619681837681183,False
1,damped_h8,blur_h8,wind_h8,2.366219245252155,6.753056473675226,0.014668270235969894,6.767724743911196,-1.8601427181740282,False
1,damped_h8,velocity_aux_h8,wind_h8,2.366219245252155,2.1862185313588096,0.010144895031338752,2.1963634263901484,0.07178363509756093,False
1,velocity_aux_h8,wind_h8,damped_h8,2.30490286222526,0.019173018989108864,2.689103722572326,2.708276741561435,-0.17500688898739072,False
1,velocity_aux_h8,blur_h8,damped_h8,2.30490286222526,0.06226943929990139,2.0255228007833157,2.087792240083217,0.0941951288708254,False
1,compressed_h2,wind_h8,damped_h8,2.2585616310437526,0.0,3.4366831155050384,3.4366831155050384,-0.5216246784095232,False
1,compressed_h2,blur_h8,damped_h8,2.2585616310437526,0.0,3.6658708055814118,3.6658708055814118,-0.6230997441886486,False
1,damped_h8,wind_h8,normal_h8,2.1947680995577863,2.351286036627634,0.0730809228760855,2.424366959503719,-0.10461189954063652,False
1,damped_h8,blur_h8,normal_h8,2.1947680995577863,6.735095556293215,0.2178469811167036,6.9529425374099185,-2.167962273012276,False
