seed,src,dst,target_regime,d_beh,d_cost,signed_cost,floor,steps_to_reach,censored,positive_transfer
1,normal_h8,wind_h8,wind,0.022840654477477074,0.0,-4.93614293847765,0.052432579369772046,0,False,True
1,normal_h8,damped_h8,damped,0.0352390855550766,2.1159430096546807,1.5324743977260025,0.0118308506551243,180,False,False
1,normal_h8,blur_h8,blur,0.03018059954047203,0.5636501454171678,-0.2723078529040026,0.03817903690394901,100,False,True
1,normal_h16,wind_h8,wind,0.025260329246520996,0.07718015568596984,-7.455835907232193,0.03817041942051479,20,False,True
1,normal_h16,damped_h8,damped,0.060378916561603546,1.9661298656747457,1.2497847514847917,0.007454889995001612,120,False,False
1,normal_h16,blur_h8,blur,0.03279857337474823,0.018599637917109946,-3.216755025443576,0.027387034112498872,0,False,True
1,compressed_h2,wind_h8,wind,0.04263297840952873,0.0,-6.841524649234045,0.09698574684915089,0,False,True
1,compressed_h2,damped_h8,damped,0.07350481301546097,2.2585616310437526,1.1700480637096236,0.06464611164161137,180,False,False
1,compressed_h2,blur_h8,blur,0.054818376898765564,0.0,-5.4210259318351754,0.08673104615438552,0,False,True
1,wind_h8,normal_h8,normal,0.022840654477477074,0.27277359224501113,-1.976910159701393,0.042377144807860964,40,False,True
1,wind_h8,normal_h16,normal,0.025260329246520996,0.2696954437664577,-2.0067050315084907,0.042377144807860964,40,False,True
1,wind_h8,compressed_h2,normal,0.04263297840952873,0.27026191495713725,-1.9925794260842453,0.042377144807860964,40,False,True
1,wind_h8,damped_h8,damped,0.03520457446575165,2.079519620253927,1.5529109826754965,0.0118308506551243,160,False,False
1,wind_h8,blur_h8,blur,0.032864026725292206,0.9393141000043775,0.39468720555305403,0.03817903690394901,140,False,False
1,wind_h8,velocity_aux_h8,normal,0.022857435047626495,0.2731194439388457,-1.987977958860851,0.042377144807860964,40,False,True
1,damped_h8,normal_h8,normal,0.0352390855550766,2.1947680995577863,1.81693454583486,0.042377144807860964,220,False,False
1,damped_h8,normal_h16,normal,0.060378916561603546,2.15607085682097,1.7517337288175319,0.042377144807860964,200,False,False
1,damped_h8,compressed_h2,normal,0.07350481301546097,2.193040619293849,1.8081028844629017,0.042377144807860964,200,False,False
1,damped_h8,wind_h8,wind,0.03520457446575165,2.366219245252155,1.0127651407605134,0.052432579369772046,180,False,False
1,damped_h8,blur_h8,blur,0.0462527722120285,6.733990564232782,6.733990564232782,0.03817903690394901,360,False,False
1,damped_h8,velocity_aux_h8,normal,0.04725310206413269,2.190825724885577,1.7994613775185178,0.042377144807860964,200,False,False
1,blur_h8,normal_h8,normal,0.03018059954047203,0.6843992585227605,-0.6930131543250302,0.042377144807860964,80,False,True
1,blur_h8,normal_h16,normal,0.03279857337474823,0.6785348597027008,-0.7150640090306596,0.042377144807860964,80,False,True
1,blur_h8,compressed_h2,normal,0.054818376898765564,0.6685198800904412,-0.739391789549873,0.042377144807860964,80,False,True
1,blur_h8,wind_h8,wind,0.032864026725292206,0.1448422528448559,-4.2121452887852975,0.052432579369772046,20,False,True
1,blur_h8,damped_h8,damped,0.0462527722120285,2.585285374806041,2.1655105089857476,0.0118308506551243,200,False,False
1,blur_h8,velocity_aux_h8,normal,0.034756261855363846,0.6744708532378789,-0.7162271312304899,0.042377144807860964,80,False,True
1,velocity_aux_h8,wind_h8,wind,0.022857435047626495,0.019173018989108864,-5.745888839165369,0.04739630797079631,0,False,True
1,velocity_aux_h8,damped_h8,damped,0.04725310206413269,2.30490286222526,1.584705945813939,0.01195973049671877,160,False,False
1,velocity_aux_h8,blur_h8,blur,0.034756261855363846,0.06226943929990139,-3.2891636781749254,0.039741820593674974,20,False,True
