seed,source,intermediate,dest,leg2,is_null,pathlen
2,normal,normal,wind,0.0,True,0.05569566786289215
2,normal,normal,damped,0.689533576014496,True,0.03894585743546486
2,normal,normal,blur,0.4507166913577488,True,0.0415988527238369
2,normal,wind,wind,0.0,False,0.05569566786289215
2,normal,wind,damped,1.7436675820795318,False,0.1388426125049591
2,normal,wind,blur,0.5564983714194524,False,0.11202472448348999
2,normal,damped,wind,0.19619441032409674,False,0.12209280207753181
2,normal,damped,damped,0.0,False,0.03894585743546486
2,normal,damped,blur,2.0441805545299774,False,0.09422571212053299
2,normal,blur,wind,0.1755204569725763,False,0.09792790934443474
2,normal,blur,damped,1.5085781082984,False,0.09687870740890503
2,normal,blur,blur,0.0,False,0.0415988527238369
2,wind,normal,normal,0.0,False,0.05569566786289215
2,wind,normal,damped,1.1953791168237489,False,0.09464152529835701
2,wind,normal,blur,0.6408395412422359,False,0.09729452058672905
2,wind,wind,normal,0.5192579844641305,True,0.05569566786289215
2,wind,wind,damped,5.005613800670419,True,0.08314694464206696
2,wind,wind,blur,1.7802758557455873,True,0.05632905662059784
2,wind,damped,normal,2.1787529407985615,False,0.12209280207753181
2,wind,damped,damped,0.0,False,0.08314694464206696
2,wind,damped,blur,4.121357828851729,False,0.13842679932713509
2,wind,blur,normal,0.32746418600990645,False,0.09792790934443474
2,wind,blur,damped,2.2882772742046242,False,0.11160891130566597
2,wind,blur,blur,0.0,False,0.05632905662059784
2,damped,normal,normal,0.0,False,0.03894585743546486
2,damped,normal,wind,0.0,False,0.09464152529835701
2,damped,normal,blur,1.090437601010004,False,0.08054471015930176
2,damped,wind,normal,0.4539455064232384,False,0.1388426125049591
2,damped,wind,wind,0.0,False,0.08314694464206696
2,damped,wind,blur,1.9146408183234072,False,0.1394760012626648
2,damped,damped,normal,3.281044654666431,True,0.03894585743546486
2,damped,damped,wind,1.0780188427084967,True,0.08314694464206696
2,damped,damped,blur,6.213407157905517,True,0.05527985468506813
2,damped,blur,normal,0.4526643180657943,False,0.09687870740890503
2,damped,blur,wind,0.0,False,0.11160891130566597
2,damped,blur,blur,0.06700938041248002,False,0.05527985468506813
2,blur,normal,normal,0.0,False,0.0415988527238369
2,blur,normal,wind,0.0,False,0.09729452058672905
2,blur,normal,damped,0.8666926143424851,False,0.08054471015930176
2,blur,wind,normal,0.08506685258850219,False,0.11202472448348999
2,blur,wind,wind,0.0,False,0.05632905662059784
2,blur,wind,damped,2.6551775899198318,False,0.1394760012626648
2,blur,damped,normal,1.336387766968636,False,0.09422571212053299
2,blur,damped,wind,0.528723377557028,False,0.13842679932713509
2,blur,damped,damped,0.0,False,0.05527985468506813
2,blur,blur,normal,0.46548747354083586,True,0.0415988527238369
2,blur,blur,wind,0.3231077449662344,True,0.05632905662059784
2,blur,blur,damped,3.0151472419263827,True,0.05527985468506813
