sigma,prob_closed,final_B_mean,final_B_std
0.0,0.0,0.12907662441564852,0.0
0.02,0.0,0.1702866762852755,0.006753973610918547
0.05,1.0,0.926330758358973,0.0673208694247879
0.1,1.0,0.9960494472606909,0.004496077863869056
0.15,1.0,0.9499584173446217,0.02228658374073849
0.2,1.0,0.8739708464238951,0.026627685297592768
0.3,1.0,0.7895967513863837,0.029513795220253464
