perm,s,B_up,B_down
0.0,0.5,0.03420781658302769,0.03420781658320324
0.0,0.5220338983050847,0.03570546919132527,0.03570546919169109
0.0,0.5440677966101695,0.037266506372339046,0.03726650637273009
0.0,0.5661016949152542,0.03889340679812976,0.03889340679854828
0.0,0.5881355932203389,0.040588726821713265,0.040588726822161705
0.0,0.6101694915254238,0.042355101026525024,0.04235510102700618
0.0,0.6322033898305085,0.04419524256430484,0.044195242564821664
0.0,0.6542372881355932,0.04611194325612645,0.046111943256682324
0.0,0.676271186440678,0.04810807342990035,0.04810807343049903
0.0,0.6983050847457627,0.050186581466142,0.05018658146678753
0.0,0.7203389830508474,0.052350493022318194,0.052350493023015233
0.0,0.7423728813559323,0.054602909904691514,0.05460290990544509
0.0,0.764406779661017,0.05694700855530746,0.056947008556123266
0.0,0.7864406779661017,0.05938603812065395,0.059386038121538344
0.0,0.8084745762711865,0.061923318067606675,0.06192331806856664
0.0,0.8305084745762712,0.0645622353116067,0.06456223531265007
0.0,0.8525423728813559,0.06730624082164842,0.06730624146418412
0.0,0.8745762711864407,0.07015884566664005,0.3369585387249691
0.0,0.8966101694915254,0.07312361646809581,0.8723701660393692
0.0,0.9186440677966101,0.0762041702249853,0.9637839713885746
0.0,0.9406779661016949,0.07940416847796733,1.0
0.0,0.9627118644067796,0.08272731078222222,1.0
0.0,0.9847457627118644,0.08617732746074826,1.0
0.0,1.006779661016949,0.08975797161333073,1.0
0.0,1.028813559322034,0.09347301036050096,1.0
0.0,1.0508474576271185,0.09732621530670446,1.0
0.0,1.0728813559322035,0.10132135221261997,1.0
0.0,1.094915254237288,0.10546216987313958,1.0
0.0,1.116949152542373,0.10975238820492546,1.0
0.0,1.1389830508474577,0.12416995256037014,1.0
0.0,1.1610169491525424,0.15177849430791532,1.0
0.0,1.1830508474576271,0.3854174972006462,1.0
0.0,1.2050847457627119,1.0,1.0
0.0,1.2271186440677966,1.0,1.0
0.0,1.2491525423728813,1.0,1.0
0.0,1.271186440677966,1.0,1.0
0.0,1.2932203389830508,1.0,1.0
0.0,1.3152542372881357,1.0,1.0
0.0,1.3372881355932202,1.0,1.0
0.0,1.3593220338983052,1.0,1.0
0.0,1.3813559322033897,1.0,1.0
0.0,1.4033898305084747,1.0,1.0
0.0,1.4254237288135592,1.0,1.0
0.0,1.4474576271186441,1.0,1.0
0.0,1.4694915254237289,1.0,1.0
0.0,1.4915254237288136,1.0,1.0
0.0,1.5135593220338983,1.0,1.0
0.0,1.535593220338983,1.0,1.0
0.0,1.5576271186440678,1.0,1.0
0.0,1.5796610169491525,1.0,1.0
0.0,1.6016949152542372,1.0,1.0
0.0,1.623728813559322,1.0,1.0
0.0,1.6457627118644067,1.0,1.0
0.0,1.6677966101694914,1.0,1.0
0.0,1.6898305084745762,1.0,1.0
0.0,1.711864406779661,1.0,1.0
0.0,1.7338983050847459,1.0,1.0
0.0,1.7559322033898306,1.0,1.0
0.0,1.7779661016949153,1.0,1.0
0.0,1.8,1.0,1.0
0.5,0.5,0.03327610825579658,0.033276108255872586
0.5,0.5220338983050847,0.034653400118473746,0.034653400118621586
0.5,0.5440677966101695,0.03608117317360768,0.03608117317375505
0.5,0.5661016949152542,0.03756073431593594,0.03756073431608247
0.5,0.5881355932203389,0.03909338336162309,0.0390933833617685
0.5,0.6101694915254238,0.04068040992077861,0.04068040992092261
0.5,0.6322033898305085,0.04232309019206154,0.042323090192203726
0.5,0.6542372881355932,0.044022683697614445,0.0440226836977546
0.5,0.676271186440678,0.045780429978197965,0.04578042997833573
0.5,0.6983050847457627,0.047597545269768,0.04759754526990314
0.5,0.7203389830508474,0.049475219183884915,0.049475219184017184
0.5,0.7423728813559323,0.05141461141522919,0.05141461141535823
0.5,0.764406779661017,0.05341684850009258,0.05341684850021827
0.5,0.7864406779661017,0.05548302064999202,0.05548302065011407
0.5,0.8084745762711865,0.057614178684488954,0.057614178684607255
0.5,0.8305084745762712,0.05981133108688617,0.059811331087000506
0.5,0.8525423728813559,0.06207544120570113,0.06207544120581139
0.5,0.8745762711864407,0.06440742462369327,0.0644074246237993
0.5,0.8966101694915254,0.06680814671475349,0.0668081467148553
0.5,0.9186440677966101,0.06927842040717999,0.06927842040727747
0.5,0.9406779661016949,0.07181900416978038,0.07181900416987348
0.5,0.9627118644067796,0.07443060023490627,0.07443060023499504
0.5,0.9847457627118644,0.07711385306997495,0.07711385307005938
0.5,1.006779661016949,0.07986934810631702,0.07986934810639718
0.5,1.028813559322034,0.08269761073136282,0.08269761073143878
0.5,1.0508474576271185,0.08559910554729253,0.0855991055473643
0.5,1.0728813559322035,0.08857423589638819,0.08857423589645595
0.5,1.094915254237288,0.09162334365048981,0.09162334365055365
0.5,1.116949152542373,0.09474670925922613,0.0947467092592861
