s_up,B_up,s_down,B_down
0.5,0.03420781658302769,1.8,1.0
0.5220338983050847,0.03570546919132527,1.7779661016949153,1.0
0.5440677966101695,0.037266506372339046,1.7559322033898306,1.0
0.5661016949152542,0.03889340679812976,1.7338983050847459,1.0
0.5881355932203389,0.040588726821713265,1.711864406779661,1.0
0.6101694915254238,0.042355101026525024,1.6898305084745762,1.0
0.6322033898305085,0.04419524256430484,1.6677966101694914,1.0
0.6542372881355932,0.04611194325612645,1.6457627118644067,1.0
0.676271186440678,0.04810807342990035,1.623728813559322,1.0
0.6983050847457627,0.050186581466142,1.6016949152542372,1.0
0.7203389830508474,0.052350493022318194,1.5796610169491525,1.0
0.7423728813559323,0.054602909904691514,1.5576271186440678,1.0
0.764406779661017,0.05694700855530746,1.535593220338983,1.0
0.7864406779661017,0.05938603812065395,1.5135593220338983,1.0
0.8084745762711865,0.061923318067606675,1.4915254237288136,1.0
0.8305084745762712,0.0645622353116067,1.4694915254237289,1.0
0.8525423728813559,0.06730624082164842,1.4474576271186441,1.0
0.8745762711864407,0.07015884566664005,1.4254237288135592,1.0
0.8966101694915254,0.07312361646809581,1.4033898305084747,1.0
0.9186440677966101,0.0762041702249853,1.3813559322033897,1.0
0.9406779661016949,0.07940416847796733,1.3593220338983052,1.0
0.9627118644067796,0.08272731078222222,1.3372881355932202,1.0
0.9847457627118644,0.08617732746074826,1.3152542372881357,1.0
1.006779661016949,0.08975797161333073,1.2932203389830508,1.0
1.028813559322034,0.09347301036050096,1.271186440677966,1.0
1.0508474576271185,0.09732621530670446,1.2491525423728813,1.0
1.0728813559322035,0.10132135221261997,1.2271186440677966,1.0
1.094915254237288,0.10546216987313958,1.2050847457627119,1.0
1.116949152542373,0.10975238820492546,1.1830508474576271,1.0
1.1389830508474577,0.12416995256037014,1.1610169491525424,1.0
1.1610169491525424,0.15177849430791532,1.1389830508474577,1.0
1.1830508474576271,0.3854174972006462,1.116949152542373,1.0
1.2050847457627119,1.0,1.094915254237288,1.0
1.2271186440677966,1.0,1.0728813559322035,1.0
1.2491525423728813,1.0,1.0508474576271185,1.0
1.271186440677966,1.0,1.028813559322034,1.0
1.2932203389830508,1.0,1.006779661016949,1.0
1.3152542372881357,1.0,0.9847457627118644,1.0
1.3372881355932202,1.0,0.9627118644067796,1.0
1.3593220338983052,1.0,0.9406779661016949,1.0
1.3813559322033897,1.0,0.9186440677966101,0.9637839713885746
1.4033898305084747,1.0,0.8966101694915254,0.8723701660393692
1.4254237288135592,1.0,0.8745762711864407,0.3369585387249691
1.4474576271186441,1.0,0.8525423728813559,0.06730624146418412
1.4694915254237289,1.0,0.8305084745762712,0.06456223531265007
1.4915254237288136,1.0,0.8084745762711865,0.06192331806856664
1.5135593220338983,1.0,0.7864406779661017,0.059386038121538344
1.535593220338983,1.0,0.764406779661017,0.056947008556123266
1.5576271186440678,1.0,0.7423728813559323,0.05460290990544509
1.5796610169491525,1.0,0.7203389830508474,0.052350493023015233
1.6016949152542372,1.0,0.6983050847457627,0.05018658146678753
1.623728813559322,1.0,0.676271186440678,0.04810807343049903
1.6457627118644067,1.0,0.6542372881355932,0.046111943256682324
1.6677966101694914,1.0,0.6322033898305085,0.044195242564821664
1.6898305084745762,1.0,0.6101694915254238,0.04235510102700618
1.711864406779661,1.0,0.5881355932203389,0.040588726822161705
1.7338983050847459,1.0,0.5661016949152542,0.03889340679854828
1.7559322033898306,1.0,0.5440677966101695,0.03726650637273009
1.7779661016949153,1.0,0.5220338983050847,0.03570546919169109
1.8,1.0,0.5,0.03420781658320324
