P_min,final_B,final_P,final_T,final_E,final_U,recovered
0.0,1.0,0.008070299713673753,0.033956442399529115,0.045599191243942044,0.8085497813774023,False
0.1,1.0,0.1,0.0530824513653819,0.05195950014419575,0.770101899960441,False
0.2,1.0,0.2,0.08112168276231534,0.059475850040862074,0.725960774345438,False
0.3,1.0,0.3,0.11922712540429875,0.06779757781402539,0.6797738325713879,False
0.4,0.14932609878881745,0.671255128057333,1.0,0.17723268540655282,0.34198690043803176,True
0.5,0.1475539726954777,0.694692594053636,1.0,0.17862140105539748,0.3396057560349223,True
0.6,0.14740679444538218,0.6966714325910017,1.0,0.17873804829504167,0.33940738307264257,True
0.7,0.14718878267859625,0.7,1.0,0.17893294362659184,0.339089530153604,True
