t,U,B1,T1,E1,P1,B2,T2,E2,P2,s,theta,F1,F2
0.0,0.3,0.02,0.95,0.9,0.9,0.02,0.95,0.9,0.9,1.5,0.196,0.1217445737699476,0.1217445737699476
0.05,0.268085972934,0.02102125541278585,0.9713394087599999,0.8977194333035969,0.8997376337283606,0.02102125541278585,0.9713394087599999,0.8977194333035969,0.8997376337283606,1.5,0.196,0.10686926296087057,0.10686926296087057
0.1,0.24028888973598925,0.02173632057919846,0.9925423358878684,0.895212967992294,0.8995411027536211,0.02173632057919846,0.9925423358878684,0.895212967992294,0.8995411027536211,1.5,0.196,0.09417874266455145,0.09417874266455145
0.15000000000000002,0.2160778638525677,0.02224838125220622,1.0,0.8926308271822477,0.8993948866668229,0.02224838125220622,1.0,0.8926308271822477,0.8993948866668229,1.5,0.196,0.08415231654926854,0.08415231654926854
0.2,0.19498622232001894,0.022631781333296283,1.0,0.8900245225492909,0.8992841662100983,0.022631781333296283,1.0,0.8900245225492909,0.8992841662100983,1.5,0.196,0.07588664321398093,0.07588664321398093
0.25,0.17660751068980937,0.022927009345838713,1.0,0.8874125755820368,0.8991997968178589,0.022927009345838713,1.0,0.8874125755820368,0.8991997968178589,1.5,0.196,0.06869799175132443,0.06869799175132443
0.30000000000000004,0.16058869916459953,0.02315696037806167,1.0,0.8848022169643551,0.8991362234797619,0.02315696037806167,1.0,0.8848022169643551,0.8991362234797619,1.5,0.196,0.06244152196820019,0.06244152196820019
0.35000000000000003,0.14662337043430093,0.023337659023176686,1.0,0.8821965147311481,0.8990891875133135,0.023337659023176686,1.0,0.8821965147311481,0.8990891875133135,1.5,0.196,0.056993214542578864,0.056993214542578864
0.4,0.13444556666410892,0.023480550324514144,1.0,0.879596871670772,0.8990554110910699,0.023480550324514144,1.0,0.879596871670772,0.8990554110910699,1.5,0.196,0.05224646528887708,0.05224646528887708
0.45,0.12382439023865519,0.02359396884061337,1.0,0.8770039708805475,0.8990323541775807,0.02359396884061337,1.0,0.8770039708805475,0.8990323541775807,1.5,0.196,0.04810937444266113,0.04810937444266113
