s,B_up,B_down,P_up,P_down
0.5,0.03257804605829739,0.03257809419300085,0.8997643648146187,0.8997416823979506
0.5220338983050847,0.03387515063691798,0.03387525796158277,0.896681769600312,0.8966366329759016
0.5440677966101695,0.03521588965429632,0.03521601287496895,0.8935088086847982,0.8934624427618967
0.5661016949152542,0.036601127259354486,0.036601267895826274,0.8902665898467335,0.8902191294881386
0.5881355932203389,0.038031761483246856,0.03803192158296893,0.8869553513813669,0.886906786356466
0.6101694915254238,0.03950867944956448,0.03950886126002756,0.8835752623953812,0.8835255814210146
0.6322033898305085,0.04103275634287189,0.041032962323627374,0.8801265648693243,0.8800757565348009
0.6542372881355932,0.04260485486454014,0.04260508770262219,0.8766095731632122,0.8765576258632968
0.676271186440678,0.04422582485241575,0.04422608747861848,0.8730246721166321,0.872971573972962
0.6983050847457627,0.045896503070518575,0.045896798676564626,0.8693723147295596,0.8693180535076196
0.7203389830508474,0.04761771317593299,0.04761804523259738,0.8656530194481603,0.8655975824701924
0.7423728813559323,0.04939026586840525,0.04939063814466921,0.8618673670775536,0.861810741131702
0.764406779661017,0.051214959226437824,0.05121537580975831,0.8580159973475319,0.8579581685935874
0.7864406779661017,0.05309257923193112,0.0530930445497232,0.8540996051607722,0.8540405590328484
0.8084745762711865,0.05502390048370184,0.055024419326145144,0.8501189365563024,0.8500586576626706
0.8305084745762712,0.057009687098540374,0.05701026464283455,0.8460747844233159,0.8460132564437509
0.8525423728813559,0.05905069379688803,0.05905133563309734,0.8419679840025716,0.8419051895833768
0.8745762711864407,0.061147667168751835,0.061148379327395606,0.8377994082137957,0.8377353288607164
0.8966101694915254,0.06330134711415186,0.06330213609571446,0.8335699628482404,0.833504578817384
0.9186440677966101,0.06551246845123693,0.06551334125779104,0.8292805816656349,0.8292138718524721
0.9406779661016949,0.06778176268422831,0.06778272685345361,0.8249322214342831,0.824864163255804
0.9627118644067796,0.07010995992256229,0.07011102357444474,0.8205258569519903,0.820456425568164
0.9847457627118644,0.0724977909420164,0.07249896426976214,0.8160624760839552,0.8159915567429146
1.006779661016949,0.07494598937821297,0.07494748951136322,0.8115430748518102,0.8114590111562486
1.028813559322034,0.07745529404270024,0.0774861835217765,0.8069686526056085,0.8053627540386212
1.0508474576271185,0.08002645135180689,0.08581313957087053,0.8023402073079312,0.6054495372675089
1.0728813559322035,0.08266021785863358,1.0,0.7976587309563528,0.12125296765131527
1.094915254237288,0.08535736287887875,1.0,0.7929252051674982,0.09910784230683532
1.116949152542373,0.08811867120167055,1.0,0.7881405969427725,0.08275118465282044
1.1389830508474577,0.0909449458771758,1.0,0.7833058546326481,0.07003916046329178
1.1610169491525424,0.09383701107346402,1.0,0.7784219041133074,0.05984219189684183
1.1830508474576271,0.09679571499588807,1.0,0.7734896451863524,0.051486246221071265
1.2050847457627119,0.09982193286309567,1.0,0.7685099482094258,0.04453362801444299
1.2271186440677966,0.10291656993467263,1.0,0.763483650962844,0.03868235892651244
1.2491525423728813,0.10608056458633167,1.0,0.7584115557547684,0.03371448404325314
1.271186440677966,0.10931489142946794,1.0,0.7532944267652862,0.029467159982502204
1.2932203389830508,0.11262056447279989,1.0,0.74813298762759,0.025815375182313707
1.3152542372881357,0.11599864032466849,1.0,0.7429279192427749,0.022661057500408498
1.3372881355932202,0.119450221435381,1.0,0.7376798578232844,0.019925901915082055
1.3593220338983052,0.12297645937972192,1.0,0.7323893931587481,0.01754647303573114
1.3813559322033897,0.12657855818042094,1.0,0.7270570670970905,0.015470756793159042
1.4033898305084747,0.1302577776739356,1.0,0.7216833722330813,0.013655668135684227
1.4254237288135592,0.13401543692036713,1.0,0.7162687507960754,0.012065208657106365
1.4474576271186441,0.13785291765967458,1.0,0.7108135937285521,0.01066907779764071
1.4694915254237289,0.14177166781655953,1.0,0.7053182399471083,0.009441607937207613
1.4915254237288136,0.14577320505645683,1.0,0.6997829757779034,0.008360935515736325
1.5135593220338983,0.14985912039496938,1.0,0.6942080345590366,0.007408347277349443
1.535593220338983,0.15403108186279618,1.0,0.688593596403098,0.006567758556589528
1.5576271186440678,0.1582908382277297,1.0,0.6829397881140272,0.005825292569148753
1.5796610169491525,0.1626402227745808,1.0,0.6772466832536046,0.005168937974534504
1.6016949152542372,0.16708115714294342,1.0,0.6715143023541194,0.004588267809804983
1.623728813559322,0.1716156552214601,1.0,0.6657426132753556,0.004074207056880636
1.6457627118644067,0.17624582709569667,1.0,0.6599315317056194,0.003618839123583829
1.6677966101694914,0.18097388304481618,1.0,0.6540809218085099,0.003215243736341932
1.6898305084745762,0.1858021375798971,1.0,0.648190597019117,0.0028573603933612964
1.711864406779661,0.19073301351396502,1.0,0.6422603209956443,0.002539872770518202
1.7338983050847459,0.1957690460504422,1.0,0.6362898087349673,0.0022581104203119643
1.7559322033898306,0.20091288687281136,1.0,0.6302787278632446,0.002007965006555394
1.7779661016949153,0.2061673082136101,1.0,0.6242267001158575,0.0017858424149858104
1.8,0.21153520687546848,1.0,0.6181333030239476,0.0015918838618245038
