t,U,B1,T1,E1,P1,B2,T2,E2,P2,s,theta,F1,F2
0.0,0.5,0.02,0.95,0.9,0.9,0.9,0.02,0.05,0.1,1.5,0.196,0.20290762294991269,0.26782150346707434
0.05,0.4719619699575,0.024046001290828643,0.9713394087599999,0.9009477411908962,0.8993576626804622,0.9012399153592616,0.0203619721,0.04986335264045813,0.09998655603151542,1.5,0.196,0.1871387217582574,0.2523521243045827
0.1,0.44581258016119446,0.027354376930877392,0.9926227715783952,0.9018230847874186,0.8987807027671286,0.9020563741838132,0.020718400569918662,0.049723929192995155,0.10000092103836876,1.5,0.196,0.17300084086241624,0.23801859018231084
0.15000000000000002,0.42142633696414,0.03002479068280862,1.0,0.9025481349695105,0.898268903898711,0.9023952380230582,0.021069770699421352,0.04958280676600149,0.1000476638974665,1.5,0.196,0.16189942093480378,0.22474415355661417
0.2,0.3986881734145643,0.0322289911802495,1.0,0.9029950063954951,0.8978114171275211,0.9022237532914842,0.021416635098858994,0.04944066657069596,0.10013080616966819,1.5,0.196,0.1525773795235482,0.2124549903070432
0.25,0.3774937511875876,0.03407459536494757,1.0,0.9030034404478484,0.8974007216655572,0.9015337648862577,0.02175958582213452,0.04929794927579881,0.10025353136908756,1.5,0.196,0.14400441852841758,0.20108085545647633
0.30000000000000004,0.3577488118568367,0.03562140485358461,1.0,0.9024479672871245,0.8970332629822988,0.9003402517476022,0.02209922482679608,0.04915494611724969,0.10041799036471004,1.5,0.196,0.13610750703778957,0.1905557637753911
0.35000000000000003,0.3393669032119795,0.03692047408880514,1.0,0.9013114437724008,0.8967052487289703,0.8986763632444112,0.022436137085686283,0.049011853499588205,0.10062522526252646,1.5,0.196,0.12882487392976166,0.18081797448489342
0.4,0.32226599305772496,0.0380144661945278,1.0,0.8996853317890116,0.8964128645481899,0.8965869269703908,0.022770869696745053,0.04886880638830856,0.10087520991805146,1.5,0.196,0.12210303926280316,0.17180922091610304
0.45,0.3063660096602056,0.03893856423151203,1.0,0.8977045030962771,0.8961524272640274,0.8941222006386745,0.023103918402893556,0.048725899135988245,0.10116698522872739,1.5,0.196,0.11589443952315147,0.1634740847250168
0.5,0.29158844611982315,0.039721557747428464,1.0,0.8954900099258291,0.895920484571256,0.8913329429469568,0.023435721140407862,0.048583198738917636,0.10149885258619988,1.5,0.196,0.11015610406854749,0.15576009128833346
0.55,0.27785722424084314,0.040386915805953966,1.0,0.8931293842877884,0.8957138703285332,0.8882671429859852,0.02376665713655257,0.04844075345045797,0.10186858508696682,1.5,0.196,0.10484905126569832,0.14861817367404354
0.6000000000000001,0.2650996865924462,0.04095375669580498,1.0,0.8906797300387489,0.8955297259657338,0.8849682329617107,0.02409704973255391,0.048298598480779616,0.1022736251937899,1.5,0.196,0.09993793848949355,0.14200301512864624
0.65,0.2532472328700483,0.041437678528971976,1.0,0.888176691103206,0.8953654987890679,0.881474389767946,0.024427171299110952,0.04815675982786538,0.10271125147354633,1.5,0.196,0.09539074560458484,0.13587311252620743
0.7000000000000001,0.2422355834794553,0.041851446821198166,1.0,0.8856422356804107,0.8952189262548267,0.877818526587511,0.02475724903486698,0.048015256889179535,0.10317870849898525,1.5,0.196,0.09117845081653687,0.1301906207056639
0.75,0.23200478852341405,0.04220555185536292,1.0,0.883089956810033,0.8950880128069982,0.8740286643647021,0.025087470868209533,0.04787410426671012,0.10367330113349711,1.5,0.196,0.08727471337818243,0.12492107980250074
0.8,0.22249909143541327,0.0425086550565703,1.0,0.8805283707101981,0.8949710036446021,0.8701284748076316,0.025417991020175144,0.047733313031604996,0.10419245802259262,1.5,0.196,0.08365557970597405,0.12003310151898983
0.8500000000000001,0.2136667194054558,0.04276794427073494,1.0,0.8779629016692976,0.8948663581158004,0.866137869109414,0.025748935015986112,0.04759289162214045,0.10473377039407702,1.5,0.196,0.08029922078639261,0.11549805756148455
0.9,0.20545964268823128,0.04298941587928773,1.0,0.875397067643301,0.8947727242922633,0.8620735638321608,0.02608040407435543,0.0474528464896872,0.10529501219248144,1.5,0.196,0.07718570200251813,0.11128979067089059
0.9500000000000001,0.19783332592497024,0.04317809886362008,1.0,0.8728331922942666,0.8946889155326464,0.8579495914676726,0.026412478883410882,0.04731318256924154,0.10587414682152146,1.5,0.196,0.07429678303416837,0.10738435562161285
1.0,0.1907464836866017,0.043338233099401595,1.0,0.8702728377840996,0.894613889377923,0.853777744245403,0.02674522281216508,0.04717390362627449,0.10646932477294253,1.5,0.196,0.07161574418876573,0.10375979093404393
1.05,0.18416084638129485,0.04347341165456391,1.0,0.8677170718760193,0.8945467288413831,0.8495679511274254,0.027078684622845697,0.04703501251531266,0.10707887542680594,1.5,0.196,0.06912723535356799,0.10039591906713294
1.1,0.17804093935479684,0.04358669478032383,1.0,0.8651666355504244,0.8944866259970912,0.8453285934454016,0.027412900752540017,0.04689651137478139,0.10770129543626353,1.5,0.196,0.06681714408335758,0.09727417178835361
1.1500000000000001,0.1723538762158446,0.04368070160811517,1.0,0.8626220500063131,0.894432867688132,0.8410667668075952,0.027747897228929338,0.04675840177530596,0.10833523540069384,1.5,0.196,0.06467247982144352,0.09437743727581309
1.2000000000000002,0.16706916645620973,0.043757684242262784,1.0,0.8600836861394514,0.8943848231406615,0.8367884972832536,0.0280836912781597,0.04662068483366459,0.10897948598385104,1.5,0.196,0.06268127174434383,0.0916899257703645
1.25,0.16215853693047994,0.043819587905322296,1.0,0.8575518104098708,0.8943419332624801,0.8324989193679173,0.028420292675215977,0.04648336130113568,0.10963296422792135,1.5,0.196,0.06083247816142492,0.08919705100177489
1.3,0.15759576650931467,0.043868099991214785,1.0,0.8550266156099354,0.894303701413352,0.8282024223590435,0.028757704879634357,0.04634643163257399,0.11029470052327368,1.5,0.196,0.059115905772870285,0.08688532503756469
1.35,0.15335653310875658,0.043904690260452926,1.0,0.8525082418217846,0.8942696854509479,0.8239027708009845,0.029095925992521518,0.04620989604085165,0.1109638264909834,1.5,0.196,0.0575221373941447,0.08474226459244874
1.4000000000000001,0.14941827226456758,0.043930643931217414,1.0,0.8499967909020268,0.8942394908764345,0.8196032037283641,0.02943494956484122,0.04607375454008952,0.11163956389822746,1.5,0.196,0.056042467001082535,0.08275630717197702
1.4500000000000002,0.14576004642935453,0.04394708904769117,1.0,0.8474923366325762,0.8942127649246082,0.8153065166068765,0.029774765281804276,0.045938006980232766,0.11232121463715516,1.5,0.196,0.05466884114693893,0.08091673570409184
1.5,0.14236242420158698,0.04395501921793497,1.0,0.8449949319285871,0.8941891914635343,0.8110151291590766,0.030115359543895177,0.04580265307489125,0.11300815174182144,1.5,0.196,0.05339380596067265,0.07921361054197087
1.55,0.13920736873817768,0.043955312588463295,1.0,0.84250461402098,0.8941684865871201,0.8067311416677666,0.03045671596149315,0.045667692423900966,0.11369981138482452,1.5,0.196,0.052210459062472424,0.07763770790810369
1.6,0.13627813464964714,0.043948747746816376,1.0,0.8400214082270561,0.8941503948005772,0.8024563818597533,0.03079881577709315,0.04553312453171907,0.11439568577787661,1.5,0.196,0.05111240583469957,0.07618046400058343
1.6500000000000001,0.13355917272536705,0.043936017105549625,1.0,0.8375453307248096,0.8941346857132553,0.7981924440734964,0.031141638226704252,0.04539894882250899,0.11509531689331061,1.5,0.196,0.05009371956924796,0.07483392410485956
1.7000000000000002,0.13103604188392748,0.043917738212559856,1.0,0.8350763906160151,0.8941211511659375,0.7939407220907589,0.03148516085001004,0.045265164652579466,0.11579829092276313,1.5,0.196,0.04914890507993501,0.07359069615342462
1.75,0.1286953277891997,0.04389446334694363,1.0,0.8326145914759719,0.8941096027305323,0.7897024367513732,0.0318293597572409,0.04513177132069562,0.11650423339242691,1.5,0.196,0.04827286542413835,0.07244390825678054
1.8,0.1265245676156194,0.04386668769158425,1.0,0.8301599325288284,0.8940998695293662,0.7854786592599955,0.032174209859367295,0.044998768076668985,0.11721280485962222,1.5,0.196,0.04746087142397013,0.07138716979531387
1.85,0.12451218048636774,0.04383485631950693,1.0,0.827712409547076,0.8940917963291748,0.7812703309244652,0.032519685067121905,0.04486615412854795,0.11792369712187095,1.5,0.196,0.04670853371576394,0.07041453571637614
