s,prob_closed_open_start,mean_B_open_start,prob_closed_closed_start,mean_B_closed_start
0.6,0.0,0.07280818564309625,0.0,0.07124413094717007
0.65,0.0,0.07928422255610504,0.0,0.07761983549233888
0.7,0.0,0.0862487118041576,0.0,0.08449025369186572
0.75,0.0,0.09372538550123485,0.0,0.09203509533335653
0.8,0.0,0.10180817703192084,0.0,0.10989308064785198
0.85,0.0,0.1117146898959626,0.0,0.2595896194810398
0.9,0.0,0.12823810792868542,1.0,0.7445208039916023
0.95,0.0,0.15428752091642223,1.0,0.933585180108042
1.0,0.0,0.19754877123440942,1.0,0.9954048774352858
1.05,0.0,0.28734536045345377,1.0,0.9989229741849808
1.1,0.66,0.5283966098233558,1.0,0.9995380757311516
1.15,1.0,0.9399330831444145,1.0,0.9997582728869661
1.2000000000000002,1.0,0.999899335732526,1.0,0.9998559622033248
1.25,1.0,0.9999296715359958,1.0,0.9999265912381623
1.3,1.0,0.9999548497672123,1.0,0.9999848796005486
1.35,1.0,0.999976454377849,1.0,0.9999998256593018
1.4,1.0,0.9999925554050266,1.0,1.0
1.4500000000000002,1.0,1.0,1.0,1.0
1.5,1.0,1.0,1.0,1.0
1.55,1.0,1.0,1.0,1.0
1.6,1.0,1.0,1.0,1.0
