theta,s,open_regime,closed_regime,final_regime,B_open,B_closed
0.11,1.2500000000000002,closed,closed,closed,1.0,1.0
0.11,1.3000000000000003,closed,closed,closed,1.0,1.0
0.11,1.35,closed,closed,closed,1.0,1.0
0.11,1.4000000000000004,closed,closed,closed,1.0,1.0
0.11,1.4500000000000002,closed,closed,closed,1.0,1.0
0.11,1.5000000000000004,closed,closed,closed,1.0,1.0
0.11,1.5500000000000003,closed,closed,closed,1.0,1.0
0.11,1.6,closed,closed,closed,1.0,1.0
0.12,0.4,open,open,open,0.17356076105632937,0.174391978485858
0.12,0.45,intermediate,intermediate,intermediate,0.20746543601210202,0.2123948243901164
0.12,0.5,intermediate,intermediate,intermediate,0.26366682857710677,0.3100690068777419
0.12,0.55,intermediate,closed,bistable,0.3861051405548096,0.657782327450031
0.12,0.6000000000000001,closed,closed,closed,0.7029619184005159,0.8930253929863154
0.12,0.6500000000000001,closed,closed,closed,0.9831671901208233,1.0
0.12,0.7000000000000001,closed,closed,closed,1.0,1.0
0.12,0.7500000000000001,closed,closed,closed,1.0,1.0
0.12,0.8,closed,closed,closed,1.0,1.0
0.12,0.8500000000000001,closed,closed,closed,1.0,1.0
0.12,0.9000000000000001,closed,closed,closed,1.0,1.0
0.12,0.9500000000000002,closed,closed,closed,1.0,1.0
0.12,1.0,closed,closed,closed,1.0,1.0
0.12,1.0500000000000003,closed,closed,closed,1.0,1.0
0.12,1.1,closed,closed,closed,1.0,1.0
0.12,1.1500000000000001,closed,closed,closed,1.0,1.0
0.12,1.2000000000000002,closed,closed,closed,1.0,1.0
0.12,1.2500000000000002,closed,closed,closed,1.0,1.0
0.12,1.3000000000000003,closed,closed,closed,1.0,1.0
0.12,1.35,closed,closed,closed,1.0,1.0
0.12,1.4000000000000004,closed,closed,closed,1.0,1.0
0.12,1.4500000000000002,closed,closed,closed,1.0,1.0
0.12,1.5000000000000004,closed,closed,closed,1.0,1.0
0.12,1.5500000000000003,closed,closed,closed,1.0,1.0
0.12,1.6,closed,closed,closed,1.0,1.0
0.13,0.4,open,open,open,0.1280843302566023,0.12829383819516155
0.13,0.45,open,open,open,0.14713958838902041,0.14802043306364115
0.13,0.5,open,open,open,0.17350249843460147,0.178662427233323
0.13,0.55,intermediate,intermediate,intermediate,0.2146898160849268,0.2718127064883006
0.13,0.6000000000000001,intermediate,closed,bistable,0.2965435246926523,0.7015614528020548
0.13,0.6500000000000001,intermediate,closed,bistable,0.5426265756899885,0.9251782355311344
0.13,0.7000000000000001,closed,closed,closed,0.9591247744686998,1.0
0.13,0.7500000000000001,closed,closed,closed,1.0,1.0
0.13,0.8,closed,closed,closed,1.0,1.0
0.13,0.8500000000000001,closed,closed,closed,1.0,1.0
0.13,0.9000000000000001,closed,closed,closed,1.0,1.0
0.13,0.9500000000000002,closed,closed,closed,1.0,1.0
0.13,1.0,closed,closed,closed,1.0,1.0
0.13,1.0500000000000003,closed,closed,closed,1.0,1.0
0.13,1.1,closed,closed,closed,1.0,1.0
0.13,1.1500000000000001,closed,closed,closed,1.0,1.0
0.13,1.2000000000000002,closed,closed,closed,1.0,1.0
0.13,1.2500000000000002,closed,closed,closed,1.0,1.0
0.13,1.3000000000000003,closed,closed,closed,1.0,1.0
0.13,1.35,closed,closed,closed,1.0,1.0
0.13,1.4000000000000004,closed,closed,closed,1.0,1.0
0.13,1.4500000000000002,closed,closed,closed,1.0,1.0
0.13,1.5000000000000004,closed,closed,closed,1.0,1.0
0.13,1.5500000000000003,closed,closed,closed,1.0,1.0
0.13,1.6,closed,closed,closed,1.0,1.0
0.14,0.4,open,open,open,0.09939445425089084,0.09939457979887942
0.14,0.45,open,open,open,0.10891022534507495,0.10892835043250523
0.14,0.5,open,open,open,0.12363671802471206,0.1244818315870992
0.14,0.55,open,open,open,0.1437208381408006,0.14862132985854237
0.14,0.6000000000000001,open,intermediate,bistable,0.1730823234725289,0.23905261314607837
0.14,0.6500000000000001,intermediate,closed,bistable,0.22438540785149294,0.7535757096451001
0.14,0.7000000000000001,intermediate,closed,bistable,0.3563831918641793,0.9558381430618746
0.14,0.7500000000000001,closed,closed,closed,0.8165409151430214,1.0
0.14,0.8,closed,closed,closed,1.0,1.0
0.14,0.8500000000000001,closed,closed,closed,1.0,1.0
0.14,0.9000000000000001,closed,closed,closed,1.0,1.0
0.14,0.9500000000000002,closed,closed,closed,1.0,1.0
0.14,1.0,closed,closed,closed,1.0,1.0
0.14,1.0500000000000003,closed,closed,closed,1.0,1.0
0.14,1.1,closed,closed,closed,1.0,1.0
0.14,1.1500000000000001,closed,closed,closed,1.0,1.0
0.14,1.2000000000000002,closed,closed,closed,1.0,1.0
0.14,1.2500000000000002,closed,closed,closed,1.0,1.0
0.14,1.3000000000000003,closed,closed,closed,1.0,1.0
0.14,1.35,closed,closed,closed,1.0,1.0
0.14,1.4000000000000004,closed,closed,closed,1.0,1.0
0.14,1.4500000000000002,closed,closed,closed,1.0,1.0
0.14,1.5000000000000004,closed,closed,closed,1.0,1.0
0.14,1.5500000000000003,closed,closed,closed,1.0,1.0
0.14,1.6,closed,closed,closed,1.0,1.0
0.15000000000000002,0.4,open,open,open,0.07983049468339079,0.07983051450199036
0.15000000000000002,0.45,open,open,open,0.08762528967466501,0.08762535532676224
0.15000000000000002,0.5,open,open,open,0.09611098016300257,0.09611144152833945
0.15000000000000002,0.55,open,open,open,0.10533393218362574,0.10535888381104513
0.15000000000000002,0.6000000000000001,open,open,open,0.11852654346865692,0.12294192112819104
0.15000000000000002,0.6500000000000001,open,intermediate,bistable,0.13943014920865301,0.21727046033004158
0.15000000000000002,0.7000000000000001,open,closed,bistable,0.17189904251321167,0.8072592023257406
0.15000000000000002,0.7500000000000001,intermediate,closed,bistable,0.2369131964075202,0.9845400625988077
0.15000000000000002,0.8,intermediate,closed,bistable,0.4696731795760421,1.0
0.15000000000000002,0.8500000000000001,closed,closed,closed,1.0,1.0
0.15000000000000002,0.9000000000000001,closed,closed,closed,1.0,1.0
0.15000000000000002,0.9500000000000002,closed,closed,closed,1.0,1.0
0.15000000000000002,1.0,closed,closed,closed,1.0,1.0
0.15000000000000002,1.0500000000000003,closed,closed,closed,1.0,1.0
0.15000000000000002,1.1,closed,closed,closed,1.0,1.0
0.15000000000000002,1.1500000000000001,closed,closed,closed,1.0,1.0
0.15000000000000002,1.2000000000000002,closed,closed,closed,1.0,1.0
0.15000000000000002,1.2500000000000002,closed,closed,closed,1.0,1.0
0.15000000000000002,1.3000000000000003,closed,closed,closed,1.0,1.0
0.15000000000000002,1.35,closed,closed,closed,1.0,1.0
0.15000000000000002,1.4000000000000004,closed,closed,closed,1.0,1.0
0.15000000000000002,1.4500000000000002,closed,closed,closed,1.0,1.0
0.15000000000000002,1.5000000000000004,closed,closed,closed,1.0,1.0
0.15000000000000002,1.5500000000000003,closed,closed,closed,1.0,1.0
0.15000000000000002,1.6,closed,closed,closed,1.0,1.0
0.16,0.4,open,open,open,0.06390298931065115,0.06390299816552808
0.16,0.45,open,open,open,0.07024145003214344,0.07024146835513456
0.16,0.5,open,open,open,0.07716314356493505,0.07716319534213446
0.16,0.55,open,open,open,0.0847118903786373,0.08471213861779667
0.16,0.6000000000000001,open,open,open,0.09293268612206122,0.09293597739144215
0.16,0.6500000000000001,open,open,open,0.10187124768461953,0.10242468880168602
0.16,0.7000000000000001,open,intermediate,bistable,0.11274178356573918,0.2155907890274421
0.16,0.7500000000000001,open,closed,bistable,0.13408006448813495,0.8576039119635303
0.16,0.8,open,closed,bistable,0.16934872338958068,1.0
0.16,0.8500000000000001,intermediate,closed,bistable,0.2517147799576398,1.0
0.16,0.9000000000000001,closed,closed,closed,0.6577120873919897,1.0
0.16,0.9500000000000002,closed,closed,closed,1.0,1.0
0.16,1.0,closed,closed,closed,1.0,1.0
0.16,1.0500000000000003,closed,closed,closed,1.0,1.0
0.16,1.1,closed,closed,closed,1.0,1.0
0.16,1.1500000000000001,closed,closed,closed,1.0,1.0
0.16,1.2000000000000002,closed,closed,closed,1.0,1.0
0.16,1.2500000000000002,closed,closed,closed,1.0,1.0
0.16,1.3000000000000003,closed,closed,closed,1.0,1.0
0.16,1.35,closed,closed,closed,1.0,1.0
0.16,1.4000000000000004,closed,closed,closed,1.0,1.0
0.16,1.4500000000000002,closed,closed,closed,1.0,1.0
0.16,1.5000000000000004,closed,closed,closed,1.0,1.0
0.16,1.5500000000000003,closed,closed,closed,1.0,1.0
0.16,1.6,closed,closed,closed,1.0,1.0
0.16999999999999998,0.4,open,open,open,0.05101482473624792,0.05101483013192862
0.16999999999999998,0.45,open,open,open,0.05613854797220094,0.05613855694541806
0.16999999999999998,0.5,open,open,open,0.06174771813012276,0.06174773597464303
0.16999999999999998,0.55,open,open,open,0.06788191738074306,0.06788196416117616
0.16999999999999998,0.6000000000000001,open,open,open,0.07458254596326375,0.07458273949564248
0.16999999999999998,0.6500000000000001,open,open,open,0.08189258146340128,0.0818944466558904
0.16999999999999998,0.7000000000000001,open,open,open,0.08985625185237124,0.08998418564197255
0.16999999999999998,0.7500000000000001,open,intermediate,bistable,0.09851861167944534,0.25842173311189315
0.16999999999999998,0.8,open,closed,bistable,0.10792501252027226,0.902543022360799
0.16999999999999998,0.8500000000000001,open,closed,bistable,0.12757316019864887,1.0
0.16999999999999998,0.9000000000000001,open,closed,bistable,0.16471124654979755,1.0
0.16999999999999998,0.9500000000000002,intermediate,closed,bistable,0.2661640671789336,1.0
0.16999999999999998,1.0,closed,closed,closed,0.8656637035993099,1.0
0.16999999999999998,1.0500000000000003,closed,closed,closed,1.0,1.0
0.16999999999999998,1.1,closed,closed,closed,1.0,1.0
0.16999999999999998,1.1500000000000001,closed,closed,closed,1.0,1.0
0.16999999999999998,1.2000000000000002,closed,closed,closed,1.0,1.0
0.16999999999999998,1.2500000000000002,closed,closed,closed,1.0,1.0
0.16999999999999998,1.3000000000000003,closed,closed,closed,1.0,1.0
0.16999999999999998,1.35,closed,closed,closed,1.0,1.0
0.16999999999999998,1.4000000000000004,closed,closed,closed,1.0,1.0
0.16999999999999998,1.4500000000000002,closed,closed,closed,1.0,1.0
0.16999999999999998,1.5000000000000004,closed,closed,closed,1.0,1.0
0.16999999999999998,1.5500000000000003,closed,closed,closed,1.0,1.0
0.16999999999999998,1.6,closed,closed,closed,1.0,1.0
0.18,0.4,open,open,open,0.04063727520376794,0.04063727902035244
0.18,0.45,open,open,open,0.0447593457245704,0.04475935130611765
0.18,0.5,open,open,open,0.04928098287957258,0.04928099205229249
0.18,0.55,open,open,open,0.054236794839676854,0.05423681270540436
0.18,0.6000000000000001,open,open,open,0.059663467228402364,0.059663512374526564
0.18,0.6500000000000001,open,open,open,0.0655996749305002,0.06559985021909623
0.18,0.7000000000000001,open,open,open,0.0720859337101042,0.07208745689396565
0.18,0.7500000000000001,open,open,open,0.07916438057735153,0.07925749767276939
0.18,0.8,open,intermediate,bistable,0.08687847174085302,0.400265946176958
0.18,0.8500000000000001,open,closed,bistable,0.095272587570952,0.9419494338264304
0.18,0.9000000000000001,open,closed,bistable,0.10439153549481726,1.0
0.18,0.9500000000000002,open,closed,bistable,0.11996110894024543,1.0
0.18,1.0,open,closed,bistable,0.1574123441137107,1.0
0.18,1.0500000000000003,intermediate,closed,bistable,0.2747712445877471,1.0
0.18,1.1,closed,closed,closed,0.9878263007476842,1.0
0.18,1.1500000000000001,closed,closed,closed,1.0,1.0
0.18,1.2000000000000002,closed,closed,closed,1.0,1.0
0.18,1.2500000000000002,closed,closed,closed,1.0,1.0
0.18,1.3000000000000003,closed,closed,closed,1.0,1.0
0.18,1.35,closed,closed,closed,1.0,1.0
0.18,1.4000000000000004,closed,closed,closed,1.0,1.0
0.18,1.4500000000000002,closed,closed,closed,1.0,1.0
0.18,1.5000000000000004,closed,closed,closed,1.0,1.0
0.18,1.5500000000000003,closed,closed,closed,1.0,1.0
0.18,1.6,closed,closed,closed,1.0,1.0
0.19,0.4,open,open,open,0.032314269278882014,0.03231427222700505
0.19,0.45,open,open,open,0.03561787731827738,0.03561788127564322
0.19,0.5,open,open,open,0.03924747924560627,0.03924748501489148
0.19,0.55,open,open,open,0.043232616269919026,0.04323262570132116
0.19,0.6000000000000001,open,open,open,0.04760491465012531,0.04760493285301397
0.19,0.6500000000000001,open,open,open,0.05239809527628341,0.052398140598122485
0.19,0.7000000000000001,open,open,open,0.05764794562719471,0.057648118161710254
0.19,0.7500000000000001,open,open,open,0.06339224488748658,0.06339373486524953
0.19,0.8,open,open,open,0.06967063209258667,0.0697783138175609
0.19,0.8500000000000001,open,closed,bistable,0.07652440653015828,0.6136723663036969
0.19,0.9000000000000001,open,closed,bistable,0.0839962494289242,0.9764445372650948
0.19,0.9500000000000002,open,closed,bistable,0.09212985640714454,1.0
0.19,1.0,open,closed,bistable,0.1009694714470111,1.0
0.19,1.0500000000000003,open,closed,bistable,0.11147377034434026,1.0
0.19,1.1,open,closed,bistable,0.1474154872139314,1.0
0.19,1.1500000000000001,intermediate,closed,bistable,0.27078262008693244,1.0
0.19,1.2000000000000002,closed,closed,closed,1.0,1.0
0.19,1.2500000000000002,closed,closed,closed,1.0,1.0
0.19,1.3000000000000003,closed,closed,closed,1.0,1.0
0.19,1.35,closed,closed,closed,1.0,1.0
0.19,1.4000000000000004,closed,closed,closed,1.0,1.0
0.19,1.4500000000000002,closed,closed,closed,1.0,1.0
0.19,1.5000000000000004,closed,closed,closed,1.0,1.0
0.19,1.5500000000000003,closed,closed,closed,1.0,1.0
0.19,1.6,closed,closed,closed,1.0,1.0
0.2,0.4,open,open,open,0.025660129431085688,0.02566013184647593
0.2,0.45,open,open,open,0.028299755840360902,0.028299758888162305
0.2,0.5,open,open,open,0.03120351274987213,0.031203516840907213
0.2,0.55,open,open,open,0.03439616703255517,0.03439617299598981
0.2,0.6000000000000001,open,open,open,0.037904431118355945,0.03790444086221703
0.2,0.6500000000000001,open,open,open,0.04175702806559208,0.04175704685307614
0.2,0.7000000000000001,open,open,open,0.045984735944172614,0.04598478271834468
0.2,0.7500000000000001,open,open,open,0.05062040480347299,0.050620584464342554
0.2,0.8,open,open,open,0.05569893841765475,0.05570058261992658
0.2,0.8500000000000001,open,open,open,0.06125723194872432,0.06143221671732004
0.2,0.9000000000000001,open,closed,bistable,0.0673340557345314,0.766693716271768
0.2,0.9500000000000002,open,closed,bistable,0.07396987471972731,1.0
0.2,1.0,open,closed,bistable,0.0812065927607912,1.0
0.2,1.0500000000000003,open,closed,bistable,0.08908721134017476,1.0
0.2,1.1,open,closed,bistable,0.0976553933272298,1.0
0.2,1.1500000000000001,open,closed,bistable,0.10695492453147133,1.0
0.2,1.2000000000000002,open,closed,bistable,0.13525137056730813,1.0
0.2,1.2500000000000002,intermediate,closed,bistable,0.2509920521568385,1.0
0.2,1.3000000000000003,closed,closed,closed,1.0,1.0
0.2,1.35,closed,closed,closed,1.0,1.0
0.2,1.4000000000000004,closed,closed,closed,1.0,1.0
0.2,1.4500000000000002,closed,closed,closed,1.0,1.0
0.2,1.5000000000000004,closed,closed,closed,1.0,1.0
0.2,1.5500000000000003,closed,closed,closed,1.0,1.0
0.2,1.6,closed,closed,closed,1.0,1.0
0.21000000000000002,0.4,open,open,open,0.02035361596827211,0.02035361803328149
0.21000000000000002,0.45,open,open,open,0.022457631792871427,0.022457634279042783
0.21000000000000002,0.5,open,open,open,0.024774491920798482,0.02477449506150718
0.21000000000000002,0.55,open,open,open,0.02732468019080321,0.027324684413585994
0.21000000000000002,0.6000000000000001,open,open,open,0.03013041375584802,0.03013041992539813
0.21000000000000002,0.6500000000000001,open,open,open,0.03321573431803015,0.0332157444311338
0.21000000000000002,0.7000000000000001,open,open,open,0.03660659015065497,0.036606609752972565
0.21000000000000002,0.7500000000000001,open,open,open,0.04033090445328403,0.040330953805995974
0.21000000000000002,0.8,open,open,open,0.044418624650454756,0.044418820251843745
0.21000000000000002,0.8500000000000001,open,open,open,0.048901746229577,0.04890375084649978
0.21000000000000002,0.9000000000000001,open,open,open,0.05381430365396474,0.054220380981692316
0.21000000000000002,0.9500000000000002,open,closed,bistable,0.05919231984071482,0.8585952093260648
0.21000000000000002,1.0,open,closed,bistable,0.06507370474503724,1.0
0.21000000000000002,1.0500000000000003,open,closed,bistable,0.07149809285902102,1.0
0.21000000000000002,1.1,open,closed,bistable,0.07850660906334687,1.0
0.21000000000000002,1.1500000000000001,open,closed,bistable,0.0861415524455753,1.0
0.21000000000000002,1.2000000000000002,open,closed,bistable,0.09444598862015702,1.0
