sigma,s,theta,rhoP,prob_closed_open_start,mean_B,std_B
0.3,0.8714285714285714,0.196,0.02,0.0,0.4123325997927255,0.02568682474087552
0.3,0.9285714285714286,0.196,0.02,0.0,0.4169698140657458,0.02579143244238764
0.3,0.9857142857142858,0.196,0.02,0.0,0.4216488121904209,0.02589727762213862
0.3,1.0428571428571427,0.196,0.02,0.0,0.4263736589622084,0.02600440927052375
0.3,1.1,0.196,0.02,0.0,0.43114875443134937,0.0261128765248292
0.3,1.157142857142857,0.196,0.02,0.0,0.435978863581104,0.02622272820289335
0.3,1.2142857142857144,0.196,0.02,0.0,0.4408691484930873,0.026334012117465992
0.3,1.2714285714285714,0.196,0.02,0.03333333333333333,0.445825203005529,0.0264467741176409
0.3,1.3285714285714287,0.196,0.02,0.03333333333333333,0.450853089764009,0.026561056789129144
0.3,1.3857142857142857,0.196,0.02,0.03333333333333333,0.4559593794072875,0.026676897727522315
0.3,1.4428571428571428,0.196,0.02,0.1,0.461151191405381,0.026794327277761397
0.3,1.5,0.196,0.02,0.1,0.4664362357499251,0.02691336560855396
