rhoP,frac_open,frac_intermediate,frac_closed,frac_bistable,frac_oscillatory,mean_collapse_s,std_collapse_s,mean_recovery_s,std_recovery_s
0.01,0.38,0.0125,0.02,0.5875,0.0,1.0017543859649125,0.43032194637451177,1.7999999999999996,4.440892098500626e-16
0.02,0.3775,0.015,0.0225,0.585,0.0,1.0017543859649125,0.43032194637451177,1.7999999999999996,4.440892098500626e-16
0.05,0.3825,0.0175,0.0225,0.5775,0.0,0.9941520467836258,0.4177829511870015,1.7999999999999996,4.440892098500626e-16
0.1,0.3825,0.02,0.03,0.5675,0.0,0.9865497076023391,0.4085505846855608,1.7999999999999996,4.440892098500626e-16
