rhoP,theta,s,open_regime,closed_regime,final_regime,B_open,B_closed,P_open,P_closed,U_open,U_closed
0.01,0.13052631578947368,1.1157894736842104,intermediate,closed,bistable,0.24163740157095914,1.0,0.8874127201397127,0.09763155570761968,0.3288151951406893,0.7706577042051297
0.01,0.13052631578947368,1.1842105263157894,intermediate,closed,bistable,0.2567649965747132,1.0,0.8848280942401231,0.09627955965094531,0.330102643130602,0.7710398135619486
0.01,0.13052631578947368,1.2526315789473683,intermediate,closed,bistable,0.27208183933549274,1.0,0.8822005913075172,0.09530832815267425,0.3314604683469165,0.7713269732794498
0.01,0.13052631578947368,1.3210526315789475,intermediate,closed,bistable,0.28760112563168344,1.0,0.8795069034648345,0.09462116458458981,0.3328886289158906,0.7715506476960984
0.01,0.13052631578947368,1.3894736842105264,intermediate,closed,bistable,0.30330188635119787,1.0,0.8767492470587512,0.09410724672860263,0.3343869501937835,0.7716430224312255
0.01,0.13052631578947368,1.4578947368421054,intermediate,closed,bistable,0.31912746607912906,1.0,0.8739709415039407,0.0937381395565162,0.33594617941888794,0.7717068316101096
0.01,0.13052631578947368,1.5263157894736843,intermediate,closed,bistable,0.33513914043990006,1.0,0.8710940940358034,0.09347392763272619,0.3375831967620507,0.7717508930071163
0.01,0.13052631578947368,1.5947368421052632,intermediate,closed,bistable,0.35124547099658004,1.0,0.8682061136082838,0.09332744039890205,0.3392782690855069,0.7718680153856875
0.01,0.13052631578947368,1.6631578947368422,intermediate,closed,bistable,0.3675145416072457,1.0,0.8652159585048047,0.09319410503827616,0.34105501019442414,0.7718886043944926
0.01,0.13052631578947368,1.731578947368421,intermediate,closed,bistable,0.3838553149941179,1.0,0.862223368644711,0.09309916124465732,0.34288736787390023,0.7719028453747427
0.01,0.13052631578947368,1.8,intermediate,closed,bistable,0.4003428239767445,1.0,0.8591240869937498,0.09303160620918688,0.3448057576071776,0.7719127047759524
0.01,0.1431578947368421,0.5,open,open,open,0.055757907562850734,0.11451463615952732,0.9045261318067457,0.43178670974153105,0.17229594794413997,0.35241881423148913
0.01,0.1431578947368421,0.5684210526315789,open,open,open,0.062157356959195706,0.12635946842756599,0.9045553201684309,0.4533434083832576,0.18815881747645635,0.3547018601283776
0.01,0.1431578947368421,0.6368421052631579,open,open,open,0.11245207241658571,0.13874973086390072,0.9028699275964577,0.47839924687474805,0.32220484224191626,0.35655345537970173
0.01,0.1431578947368421,0.7052631578947368,open,open,open,0.12400532028787328,0.15148914089641263,0.9007620484997956,0.5058338459451448,0.32201092937979,0.35791103674161956
0.01,0.1431578947368421,0.7736842105263158,open,open,open,0.13584029649676935,0.16452408862275306,0.8985065209966561,0.5332236287583786,0.32224970909191325,0.3589272777131974
0.01,0.1431578947368421,0.8421052631578947,open,closed,bistable,0.14802375043122287,1.0,0.8961294844439263,0.11355607814783432,0.3227799236234159,0.7609268735342513
0.01,0.1431578947368421,0.9105263157894737,open,closed,bistable,0.1605628407226854,1.0,0.8936530931198554,0.10612998423550393,0.323511247604666,0.7660505060782433
