rhoP,frac_open,frac_intermediate,frac_closed,frac_bistable,frac_oscillatory,mean_collapse_s,std_collapse_s,mean_recovery_s,std_recovery_s,mean_hysteresis_width,std_hysteresis_width
0.01,0.38,0.0125,0.02,0.5875,0.0,1.0017543859649125,0.43032194637451177,0.9789473684210526,0.2812762760886612,0.288888888888889,0.30561025280601545
0.02,0.3775,0.015,0.0225,0.585,0.0,1.0017543859649125,0.43032194637451177,0.9789473684210526,0.262330277541948,0.27368421052631586,0.31766499579542734
0.05,0.3825,0.0175,0.0225,0.5775,0.0,0.9941520467836258,0.4177829511870015,0.9857894736842103,0.2446949596307576,0.24327485380116964,0.30447344693393014
0.1,0.3825,0.02,0.03,0.5675,0.0,0.9865497076023391,0.4085505846855608,0.9892105263157894,0.23330976994858704,0.22046783625731003,0.30218700571529045
